Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address[23:0],u_ndpp_wrapper/user_logic_native_mem_strb[31:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_hls[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
351,351,0,0,300060,00000000,c9,00,01
352,352,0,0,300060,00000000,c9,00,01
353,353,0,0,300060,00000000,c9,00,01
354,354,0,0,300060,00000000,c9,00,01
355,355,0,0,300060,00000000,c9,00,01
356,356,0,0,300060,00000000,c9,00,01
357,357,0,0,300060,00000000,c9,00,01
358,358,0,0,300060,00000000,c9,00,01
359,359,0,0,300060,00000000,c9,00,01
360,360,0,0,300060,00000000,c9,00,01
361,361,0,0,300060,00000000,c9,00,01
362,362,0,0,300060,00000000,c9,00,01
363,363,0,0,300060,00000000,c9,00,01
364,364,0,0,300060,00000000,c9,00,01
365,365,0,0,300060,00000000,c9,00,01
366,366,0,0,300060,00000000,c9,00,01
367,367,0,0,300060,00000000,c9,00,01
368,368,0,0,300060,00000000,c9,00,01
369,369,0,0,300060,00000000,c9,00,01
370,370,0,0,300060,00000000,c9,00,01
371,371,0,0,300060,00000000,c9,00,01
372,372,0,0,300060,00000000,c9,00,01
373,373,0,0,300060,00000000,c9,00,01
374,374,0,0,300060,00000000,c9,00,01
375,375,0,0,300060,00000000,c9,00,01
376,376,0,0,300060,00000000,c9,00,01
377,377,0,0,300060,00000000,c9,00,01
378,378,0,0,300060,00000000,c9,00,01
379,379,0,0,300060,00000000,c9,00,01
380,380,0,0,300060,00000000,c9,00,01
381,381,0,0,300060,00000000,c9,00,01
382,382,0,0,300060,00000000,c9,00,01
383,383,0,0,300060,00000000,c9,00,01
384,384,0,0,300060,00000000,c9,00,01
385,385,0,0,300060,00000000,c9,00,01
386,386,0,0,300060,00000000,c9,00,01
387,387,0,0,300060,00000000,c9,00,01
388,388,0,0,300060,00000000,c9,00,01
389,389,0,0,300060,00000000,c9,00,01
390,390,0,0,300060,00000000,c9,00,01
391,391,0,0,300060,00000000,c9,00,01
392,392,0,0,300060,00000000,c9,00,01
393,393,0,0,300060,00000000,c9,00,01
394,394,0,0,300060,00000000,c9,00,01
395,395,0,0,300060,00000000,c9,00,01
396,396,0,0,300060,00000000,c9,00,01
397,397,0,0,300060,00000000,c9,00,01
398,398,0,0,300060,00000000,c9,00,01
399,399,0,0,300060,00000000,c9,00,01
400,400,0,0,300060,00000000,c9,00,01
401,401,0,0,300060,00000000,c9,00,01
402,402,0,0,300060,00000000,c9,00,01
403,403,0,0,300060,00000000,c9,00,01
404,404,0,0,300060,00000000,c9,00,01
405,405,0,0,300060,00000000,c9,00,01
406,406,0,0,300060,00000000,c9,00,01
407,407,0,0,300060,00000000,c9,00,01
408,408,0,0,300060,00000000,c9,00,01
409,409,0,0,300060,00000000,c9,00,01
410,410,0,0,300060,00000000,c9,00,01
411,411,0,0,300060,00000000,c9,00,01
412,412,0,0,300060,00000000,c9,00,01
413,413,0,0,300060,00000000,c9,00,01
414,414,0,0,300060,00000000,c9,00,01
415,415,0,0,300060,00000000,c9,00,01
416,416,0,0,300060,00000000,c9,00,01
417,417,0,0,300060,00000000,c9,00,01
418,418,0,0,300060,00000000,c9,00,01
419,419,0,0,300060,00000000,c9,00,01
