Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address_1[23:0],u_ndpp_wrapper/user_logic_native_mem_address[31:24],u_ndpp_wrapper/user_logic_native_mem_strb[23:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_out[7:0],u_ndpp_wrapper/dma_p0_rx_axis_tvalid_temp,u_ndpp_wrapper/dma_p0_rx_axis_tdata[7:0],u_ndpp_wrapper/dma_p0_rx_axis_tready_temp
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
378,378,0,1,301ce0,00,ffffff,1c,00,00,0,00,1
379,379,0,0,301d00,00,000000,00,00,00,0,00,1
380,380,0,0,301d20,00,000000,1c,00,00,0,00,1
381,381,0,1,301c80,00,ffffff,1c,00,00,0,00,1
382,382,0,1,301ca0,00,ffffff,1c,00,00,0,00,1
383,383,0,0,301cc0,00,000000,00,00,00,0,00,1
384,384,0,0,301ce0,00,000000,18,00,00,0,00,1
385,385,0,1,301880,00,ffffff,18,00,00,0,00,1
386,386,0,1,3018a0,00,ffffff,18,00,00,0,00,1
387,387,0,0,3018c0,00,000000,00,00,00,0,00,1
388,388,0,0,3018e0,00,000000,1c,00,00,0,00,1
389,389,0,1,301c00,00,ffffff,1c,00,00,0,00,1
390,390,0,1,301c20,00,ffffff,1c,00,00,0,00,1
391,391,0,0,301c40,00,000000,00,00,00,0,00,1
392,392,0,0,301c60,00,000000,1d,00,00,0,00,1
393,393,0,1,301d40,00,ffffff,1d,00,00,0,00,1
394,394,0,1,301d60,00,ffffff,1d,00,00,0,00,1
395,395,0,0,301d80,00,000000,00,00,00,0,00,1
396,396,0,0,301da0,00,000000,1a,00,00,0,00,1
397,397,0,1,301ac0,00,ffffff,1a,00,00,0,00,1
398,398,0,1,301ae0,00,ffffff,1a,00,00,0,00,1
399,399,0,0,301b00,00,000000,00,00,00,0,00,1
400,400,0,0,301b20,00,000000,1d,00,00,0,00,1
401,401,0,1,301d00,00,ffffff,1d,00,00,0,00,1
402,402,0,1,301d20,00,ffffff,1d,00,00,0,00,1
403,403,0,0,301d40,00,000000,00,00,00,0,00,1
404,404,0,0,301d60,00,000000,1d,00,00,0,00,1
405,405,0,1,301dc0,00,ffffff,1d,00,00,0,00,1
406,406,0,1,301de0,00,ffffff,1d,00,00,0,00,1
407,407,0,0,301e00,00,000000,00,00,00,0,00,1
408,408,0,0,301e20,00,000000,1e,00,00,0,00,1
409,409,0,1,301e40,00,ffffff,1e,00,00,0,00,1
410,410,0,1,301e60,00,ffffff,1e,00,00,0,00,1
411,411,0,0,301e80,00,000000,00,00,00,0,00,1
412,412,0,0,301ea0,00,000000,1e,00,00,0,00,1
413,413,0,1,301ec0,00,ffffff,1e,00,00,0,00,1
414,414,0,1,301ee0,00,ffffff,1e,00,00,0,00,1
415,415,0,0,301f00,00,000000,00,00,00,0,00,1
416,416,0,0,301f20,00,000000,1e,00,00,0,00,1
417,417,0,1,301e80,00,ffffff,1e,00,00,0,00,1
418,418,0,1,301ea0,00,ffffff,1e,00,00,0,00,1
419,419,0,0,301ec0,00,000000,00,00,00,0,00,1
420,420,0,0,301ee0,00,000000,1f,00,00,0,00,1
421,421,0,1,301f40,00,ffffff,1f,00,00,0,00,1
422,422,0,1,301f60,00,ffffff,1f,00,00,0,00,1
423,423,0,0,301f80,00,000000,00,00,00,0,00,1
424,424,0,0,301fa0,00,000000,1e,00,00,0,00,1
425,425,0,1,301e00,00,ffffff,1e,00,00,0,00,1
426,426,0,1,301e20,00,ffffff,1e,00,00,0,00,1
427,427,0,0,301e40,00,000000,00,00,00,0,00,1
428,428,0,0,301e60,00,000000,18,00,00,0,00,1
429,429,0,1,301800,00,ffffff,18,00,00,0,00,1
430,430,0,1,301820,00,ffffff,18,00,00,0,00,1
431,431,0,0,301840,00,000000,00,00,00,0,00,1
432,432,0,0,301860,00,000000,1f,00,00,0,00,1
433,433,0,1,301fc0,00,ffffff,1f,00,00,0,00,1
434,434,0,1,301fe0,00,ffffff,1f,00,00,0,00,1
435,435,0,0,302000,00,000000,00,00,00,0,00,1
436,436,0,0,302020,00,000000,19,00,00,0,00,1
437,437,0,1,301980,00,ffffff,19,00,00,0,00,1
438,438,0,1,3019a0,00,ffffff,19,00,00,0,00,1
439,439,0,0,3019c0,00,000000,00,00,00,0,00,1
440,440,0,0,3019e0,00,000000,19,00,00,0,00,1
441,441,0,1,301940,00,ffffff,19,00,00,0,00,1
442,442,0,1,301960,00,ffffff,19,00,00,0,00,1
443,443,0,0,301980,00,000000,00,00,00,0,00,1
444,444,0,0,3019a0,00,000000,19,00,00,0,00,1
445,445,0,1,301900,00,ffffff,19,00,00,0,00,1
446,446,0,1,301920,00,ffffff,19,00,00,0,00,1
447,447,0,0,301940,00,000000,00,00,00,0,00,1
448,448,0,0,301960,00,000000,19,00,00,0,00,1
449,449,0,1,3019c0,00,ffffff,19,00,00,0,00,1
450,450,0,1,3019e0,00,ffffff,19,00,00,0,00,1
451,451,0,0,301a00,00,000000,00,00,00,0,00,1
452,452,0,0,301a20,00,000000,1a,00,00,0,00,1
453,453,0,1,301a80,00,ffffff,1a,00,00,0,00,1
454,454,0,1,301aa0,00,ffffff,1a,00,00,0,00,1
455,455,0,0,301ac0,00,000000,00,00,00,0,00,1
456,456,0,0,301ae0,00,000000,15,00,00,0,00,1
457,457,0,1,301500,00,ffffff,15,00,00,0,00,1
458,458,0,1,301520,00,ffffff,15,00,00,0,00,1
459,459,0,0,301540,00,000000,00,00,00,0,00,1
460,460,0,0,301560,00,000000,1b,00,00,0,00,1
461,461,0,1,301bc0,00,ffffff,1b,00,00,0,00,1
462,462,0,1,301be0,00,ffffff,1b,00,00,0,00,1
